period,dong_code,district,dong,category,store_count
2024-03-01,30140720,중구,문화1동,음식점업,191
2024-03-01,30140720,중구,문화1동,"전문, 과학 및 기술 서비스업",23
2024-03-01,30140730,중구,문화2동,교육 서비스업,15
2024-03-01,30140730,중구,문화2동,보건의료업,2
2024-03-01,30140730,중구,문화2동,부동산업,12
2024-03-01,30140730,중구,문화2동,"사업시설 관리, 사업 지원 및 임대 서비스업",5
2024-03-01,30140730,중구,문화2동,소매업,92
2024-03-01,30140730,중구,문화2동,수리 및 개인 서비스업,77
2024-03-01,30140730,중구,문화2동,숙박업,2
2024-03-01,30140730,중구,문화2동,"예술, 스포츠 및 여가관련 서비스업",14
2024-03-01,30140730,중구,문화2동,음식점업,113
2024-03-01,30140730,중구,문화2동,"전문, 과학 및 기술 서비스업",19
2024-03-01,30140740,중구,산성동,교육 서비스업,17
2024-03-01,30140740,중구,산성동,보건의료업,2
2024-03-01,30140740,중구,산성동,부동산업,37
2024-03-01,30140740,중구,산성동,"사업시설 관리, 사업 지원 및 임대 서비스업",79
2024-03-01,30140740,중구,산성동,소매업,377
2024-03-01,30140740,중구,산성동,수리 및 개인 서비스업,212
2024-03-01,30140740,중구,산성동,숙박업,10
2024-03-01,30140740,중구,산성동,"예술, 스포츠 및 여가관련 서비스업",52
2024-03-01,30140740,중구,산성동,음식점업,317
2024-03-01,30140740,중구,산성동,"전문, 과학 및 기술 서비스업",85
2024-03-01,30170510,서구,복수동,교육 서비스업,36
2024-03-01,30170510,서구,복수동,보건의료업,1
2024-03-01,30170510,서구,복수동,부동산업,16
2024-03-01,30170510,서구,복수동,"사업시설 관리, 사업 지원 및 임대 서비스업",21
2024-03-01,30170510,서구,복수동,소매업,100
2024-03-01,30170510,서구,복수동,수리 및 개인 서비스업,87
2024-03-01,30170510,서구,복수동,숙박업,0
2024-03-01,30170510,서구,복수동,"예술, 스포츠 및 여가관련 서비스업",41
2024-03-01,30170510,서구,복수동,음식점업,201
2024-03-01,30170510,서구,복수동,"전문, 과학 및 기술 서비스업",26
2024-03-01,30170520,서구,도마1동,교육 서비스업,32
2024-03-01,30170520,서구,도마1동,보건의료업,7
2024-03-01,30170520,서구,도마1동,부동산업,49
2024-03-01,30170520,서구,도마1동,"사업시설 관리, 사업 지원 및 임대 서비스업",38
2024-03-01,30170520,서구,도마1동,소매업,388
2024-03-01,30170520,서구,도마1동,수리 및 개인 서비스업,140
2024-03-01,30170520,서구,도마1동,숙박업,4
2024-03-01,30170520,서구,도마1동,"예술, 스포츠 및 여가관련 서비스업",43
2024-03-01,30170520,서구,도마1동,음식점업,355
2024-03-01,30170520,서구,도마1동,"전문, 과학 및 기술 서비스업",49
2024-03-01,30170530,서구,도마2동,교육 서비스업,15
2024-03-01,30170530,서구,도마2동,보건의료업,11
2024-03-01,30170530,서구,도마2동,부동산업,48
2024-03-01,30170530,서구,도마2동,"사업시설 관리, 사업 지원 및 임대 서비스업",27
2024-03-01,30170530,서구,도마2동,소매업,187
2024-03-01,30170530,서구,도마2동,수리 및 개인 서비스업,108
2024-03-01,30170530,서구,도마2동,숙박업,2
2024-03-01,30170530,서구,도마2동,"예술, 스포츠 및 여가관련 서비스업",27
2024-03-01,30170530,서구,도마2동,음식점업,195
