period,category_code,category,store_count,confirmed_count,coverage_status,has_legacy_ancestor,crosswalk_type,mapping_type,mapping_confidence
2025-03-01,Q10212,방사선 진단/병리 검사 의원,22,22,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,Q10402,유사 의료업,144,144,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-03-01,S20902,셀프 빨래방,197,197,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,G20602,주류 소매업,19,19,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,I20202,마라탕/훠궈,121,121,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10502,옥외/전시 광고 대행업,47,47,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10503,광고 매체 판매업,20,20,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10601,시장 조사 및 여론 조사업,48,48,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10901,건축 설계 및 관련 서비스업,509,509,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10902,도시 계획 및 조경 설계 서비스업,46,46,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10903,건물 및 토목 엔지니어링 서비스업,160,160,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10904,환경 관련 엔지니어링 서비스업,70,70,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M10999,기타 엔지니어링 서비스업,285,285,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M11101,동물병원,109,109,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M11201,인테리어 디자인업,741,741,관측체계 내 확정집계,True,추가,추가,소분류확정
2025-06-01,M11202,제품 디자인업,94,94,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,M11203,시각 디자인업,317,317,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,N10301,조경 유지·관리 서비스업,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,N10501,여행사,303,303,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,N10599,기타 여행 보조/예약 서비스업,30,30,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,N10999,기타 운송장비 대여업,23,23,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,N11101,건설기계/장비 대여업,62,62,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,P10607,청소년 수련시설,12,12,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,P10701,교육컨설팅업,151,151,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10101,종합병원,12,12,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10102,일반병원,37,37,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10103,치과병원,6,6,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10104,한방병원,15,15,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10105,요양병원,49,49,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10201,내과/소아과 의원,250,250,관측체계 내 확정집계,False,추가,추가,소분류확정
2025-06-01,Q10202,외과 의원,113,113,관측체계 내 확정집계,False,추가,추가,소분류확정
