period,category_code,category,store_count,confirmed_count,coverage_status
2024-12-01,G203,모터사이클 및 부품 소매업,67,67,관측체계 내 확정집계
2024-12-01,G204,종합 소매업,3199,3199,관측체계 내 확정집계
2024-12-01,G205,식료품 소매업,2674,2674,관측체계 내 확정집계
2024-12-01,G206,음료 소매업,67,67,관측체계 내 확정집계
2024-12-01,G207,담배 소매업,98,98,관측체계 내 확정집계
2024-12-01,G208,가전제품 및 정보 통신장비 소매업,1247,1247,관측체계 내 확정집계
2024-12-01,G209,"섬유, 의복, 신발 및 가죽제품 소매업",5174,5174,관측체계 내 확정집계
2024-12-01,G210,"철물, 공구, 창호 및 건설자재 소매업",662,662,관측체계 내 확정집계
2024-12-01,G211,가구 소매업,354,354,관측체계 내 확정집계
2024-12-01,G212,기타 생활용품 소매업,637,637,관측체계 내 확정집계
2024-12-01,G213,"문화, 오락 및 여가 용품 소매업",1072,1072,관측체계 내 확정집계
2024-12-01,G214,연료소매업,426,426,관측체계 내 확정집계
2024-12-01,G215,"의약품, 의료용 기구, 화장품 및 방향제 소매업",1980,1980,관측체계 내 확정집계
2024-12-01,G216,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",411,411,관측체계 내 확정집계
2024-12-01,G217,시계 및 귀금속 소매업,344,344,관측체계 내 확정집계
2024-12-01,G218,"예술품, 기념품 및 장식용품 소매업",290,290,관측체계 내 확정집계
2024-12-01,G219,화초 및 식물 소매업,626,626,관측체계 내 확정집계
2024-12-01,G220,애완용 동물 및 관련용품 소매업,360,360,관측체계 내 확정집계
2024-12-01,G221,기타 상품 전문 소매업,451,451,관측체계 내 확정집계
2024-12-01,G222,중고 상품 소매업,387,387,관측체계 내 확정집계
2024-12-01,I101,일반 및 생활 숙박시설 운영업,665,665,관측체계 내 확정집계
2024-12-01,I102,기타 숙박업,56,56,관측체계 내 확정집계
2024-12-01,I201,한식 음식점업,10633,10633,관측체계 내 확정집계
2024-12-01,I202,중식 음식점업,872,872,관측체계 내 확정집계
2024-12-01,I203,일식 음식점업,752,752,관측체계 내 확정집계
2024-12-01,I204,서양식 음식점업,664,664,관측체계 내 확정집계
2024-12-01,I205,동남아시아 음식점업,156,156,관측체계 내 확정집계
2024-12-01,I206,기타 외국식 음식점업,0,0,관측체계 내 확정집계
2024-12-01,I207,구내식당 및 뷔페,207,207,관측체계 내 확정집계
2024-12-01,I210,기타 간이 음식점업,5061,5061,관측체계 내 확정집계
2024-12-01,I211,주점업,2428,2428,관측체계 내 확정집계
2024-12-01,I212,비알코올 음료점업,4065,4065,관측체계 내 확정집계
2024-12-01,L102,부동산관련 서비스업,2557,2557,관측체계 내 확정집계
2024-12-01,M103,법무관련 서비스업,737,737,관측체계 내 확정집계
2024-12-01,M104,회계 및 세무관련 서비스업,358,358,관측체계 내 확정집계
2024-12-01,M105,광고업,1079,1079,관측체계 내 확정집계
2024-12-01,M106,시장 조사 및 여론 조사업,44,44,관측체계 내 확정집계
